signal,rank,frequency_hz,magnitude
Baseband Message,1,500.0,0.8192709380013543
Baseband Message,2,450.0,0.40994187081673056
Baseband Message,3,550.0,0.4099407601080191
Baseband Message,4,1000.0,0.4096388125716838
Baseband Message,5,1050.0,0.20496800364323842
Baseband Message,6,950.0,0.204966421919315
Standard AM,1,10000.0,0.9999999342446916
Standard AM,2,10050.0,0.5003750805969973
Standard AM,3,9950.0,0.5003750805694682
Standard AM,4,9500.0,0.3277082972190318
Standard AM,5,10500.0,0.3277082944313105
Standard AM,6,10450.0,0.16397684812915822
Standard AM,7,9550.0,0.16397684534193183
Standard AM,8,10550.0,0.16397637099255133
DSB-SC,1,10500.0,0.40963546935614886
DSB-SC,2,9500.0,0.40963546858624633
DSB-SC,3,9550.0,0.20497093581978926
DSB-SC,4,10450.0,0.2049709350504193
DSB-SC,5,9450.0,0.20497038047148264
DSB-SC,6,10550.0,0.20497037970098403
DSB-SC,7,11000.0,0.20481940661591555
DSB-SC,8,9000.0,0.20481940583710076
Noisy AM,1,10000.0,0.9997653869704994
Noisy AM,2,10050.0,0.5047245056126635
Noisy AM,3,9950.0,0.49787311013876007
Noisy AM,4,9500.0,0.3342752528594485
Noisy AM,5,10500.0,0.33372716757252546
Noisy AM,6,9450.0,0.1724338474822837
Noisy AM,7,10450.0,0.16992471904648276
Noisy AM,8,10550.0,0.16944053251412858
Recovered DSB-SC Message,1,500.0,0.7939156103014493
Recovered DSB-SC Message,2,550.0,0.40152853331515354
Recovered DSB-SC Message,3,450.0,0.3976348421894453
Recovered DSB-SC Message,4,1000.0,0.39074807050139615
Recovered DSB-SC Message,5,1050.0,0.19726449074058264
Recovered DSB-SC Message,6,950.0,0.1952396569495086
